Bug ID,Bigrams
1377821,"['created attachment', 'attachment screenshot']"
1390628,"['attachment screen', 'screen shot', 'capable device', 'os x', 'x retina']"
1398961,"['github com', 'created attachment', 'screen shot', 'attachment screen', 'png see']"
1379832,"['one tab', 'tab mix', 'tab com', 'firefox os', 'windows google']"
1360150,"['set selecteditem', 'set selectedindex', 'xml update', 'xml set', 'bindings xml']"
1362755,"['bug comment', 'bug helped', 'completely solve', 'helped prevent', 'see bug']"
1402326,"['created attachment', 'good revision', 'attachment dark', 'dark theme', 'last good']"
1364074,"['starts loading', 'com index', 'mail tab', 'mail starts', 'google mail']"
1385604,"['sync big', 'big data', 'data takes', 'machine sync', 'takes hours']"
1350836,"['actual results', 'us firefox', 'firefox addon', 'expected results', 'tab open']"
1374796,"['bookmark inside', 'sidebar switcher', 'sidebar toggle', 'sidebar press', 'toggle switch']"
1389250,"['attachment screen', 'created attachment', 'screen shot', 'text firefox', 'support overlap']"
1391777,"['screenshots sorry', 'another like', 'find another', 'lines sometimes', 'sites look']"
1334240,"['str install', 'pasting inside', 'another check', 'text paste', 'first glance']"
1371090,"['testing latest', 'preferences privacy', 'telemetry click', 'advanced er', 'str open']"
1345117,"['get max', 'dead page', 'user agent', 'l usr', 'max channel']"
1389563,"['created attachment', 'see attached', 'aug png', 'nightly see', 'attachment screen']"
1356535,"['js engine', 'engine error', 'js srch', 'engine exception', 'exception engine']"
1377487,"['including engineers', 'discussion around', 'people including']"
1370894,"['first startup', 'even better', 'main thread']"
1351969,"['task runs', 'mozilla com', 'logs live', 'id repo', 'public logs']"
1348387,"['tab forever', 'page loaded', 'pop ups', 'icon remains', 'blocked pop']"
1328368,"['inbound debug', 'files de', 'inbound builds', 'de job', 'chrome windows']"
1398746,"['bug noticed', 'macos mavericks', 'private browsing', 'normal windows']"
1410462,"['examples ၔ', 'created attachment', 'attachment screen', 'ၔ com', 'com ဝဝk']"
1400619,"['reliably link', 'firefox nightly', 'bug reliably', 'running macos', 'report stats']"
1361906,"['weave notification', 'min status', 'log debug', 'sync nightly', 'let sync']"
1393629,"['page action', 'hover like', 'toolbar buttons', 'action items', 'gray background']"
1384472,"['firefox version', 'screenshot save', 'work firefox', 'attachment screenshot', 'created attachment']"
1351692,"['control buttons', 'created attachment', 'actual results', 'upper right', 'expected results']"
1421045,"['str download', 'download release', 'release download', 'download nightly', 'running expected']"
1357047,"['private browsing', 'private window', 'hamburger menu', 'window button']"
1392188,"['spoofing test', 'unicode blocks', 'u png', 'created attachment', 'attachment u']"
1368365,"['different actions', 'common actions', 'created attachment', 'main menu', 'open main']"
1386356,"['change moz', 'register browsers', 'py warning', 'moz headless', 'deprecated please']"
1344968,"['attachment screenshot', 'created attachment', 'days ago', 'recent regression', 'started noticing']"
1376301,"['rust backtrace', 'backtrace redirecting', 'invalid flags', 'redirecting call', 'contains invalid']"
1357426,"['dialog almost', 'almost full', 'full screen', 'pref privacy', 'close alert']"
1398495,"['screenshot additionally', 'looks extremely', 'created attachment', 'extremely low', 'attachment screenshot']"
1329732,"['png various', 'attachment png', 'container labels', 'various color', 'created attachment']"
1412046,"['opacity otherwise', 'fill opacity', 'set fill', 'opacity context', 'action icons']"
1403887,"['created attachment', 'consistent neither', 'screen shot', 'font size', 'png see']"
1353488,"['toolbar ads', 'use nightly', 'find someone', 'str install', 'regression range']"
1356684,"['test separately', 'bug originally']"
1377722,"['watching video', 'audio still', 'reproduce watching', 'user agent', 'actual results']"
1397758,"['much margin', 'please see', 'firefox logo', 'see spec', 'logo icon']"
1378855,"['tabbar menubar', 'background color', 'menubar background', 'enable native', 'color instead']"
1358409,"['browser xml', 'chrome browser', 'browser content']"
1383134,"['public test', 'test info', 'id repo', 'files de', 'job id']"
1375932,"['colors compact', 'please introduce', 'introduce default', 'system colors', 'compact theme']"
1368300,"['gmail com', 'com job', 'job id', 'central builds', 'browser chrome']"
1334746,"['com job', 'public logs', 'logs live', 'gmail com', 'repo mozilla']"
1393807,"['created attachment', 'density though', 'nightly build', 'issue appears', 'theme density']"
1364246,"['running firefox', 'laptop monitor', 'external monitors', 'dpi laptop', 'firefox nightly']"
1395644,"['performance complaints', 'could benefit', 'whatsapp web', 'high end', 'end hardware']"
1328371,"['id repo', 'job id', 'builds mozilla', 'debug test', 'inbound builds']"
1349190,"['link current', 'focus link', 'content type', 'following url', 'url ao']"
1379042,"['notification bar', 'like remove', 'bar animation']"
1381883,"['key press', 'press ctrl', 'tab key', 'probably related', 'user hits']"
1400622,"['poc google', 'com see', 'see id']"
1336788,"['job id', 'unexpected fail', 'general js', 'js task', 'test general']"
1364725,"['modules promise', 'chrome browser', 'app modules', 'promise resource', 'resource modules']"
1403696,"['created attachment', 'nightly date', 'nightly index', 'get toplevel', 'core exec']"
1334452,"['chrome macosx', 'builds mozilla', 'macosx txt', 'debug mozilla', 'mozilla debug']"
